LAMMPS data file via write_data, version 2 Aug 2023, timestep = 1000000, units = lj

864 atoms
1 atom types

0 10.073999999999998 xlo xhi
0 10.073999999999998 ylo yhi
0 10.073999999999998 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 1

Atoms # atomic

151 1 0.5455418517954996 1.2289820283166186 1.6204111348314922 -1 1 1
256 1 1.4228132678171284 1.3474215631670567 0.540599512244762 -1 0 1
566 1 1.2632644020982549 2.3614645858665186 2.477268069276799 2 0 3
649 1 3.7805098938351973 0.7445832142929546 2.1065170480442204 5 0 -2
733 1 1.6634772884434805 0.8967429339136431 1.602601763265347 3 -3 1
660 1 2.7507280459710586 0.8082345761566738 1.773698371774181 3 -3 3
412 1 3.6113101705177666 4.703236498343266 3.1142173995262117 6 -1 2
270 1 3.6081109030834626 1.0300055637809997 0.7888618667334036 0 -1 6
443 1 4.583353923031426 0.14653277779691953 1.3718720347361928 -2 -3 5
521 1 1.5339681428369423 0.396119146369117 2.385156373306424 -2 -7 5
537 1 0.5806003444685826 2.8285000032384087 0.765703146211336 -4 -6 -2
100 1 1.6384112410155838 2.3131291109603977 0.5320842198597164 0 0 2
352 1 0.47852312340397135 3.672419011041307 1.8018945845123893 -3 -6 3
728 1 3.4005374479172588 1.686648487483023 1.4170568021746888 -3 2 1
387 1 2.4114824534229324 1.4895481648099298 0.8175200671906109 4 0 1
171 1 1.442049213125239 3.0957467642649923 1.3603737877931295 -3 -2 -3
394 1 3.484117398344936 3.0281576418808607 0.07090387768439854 -2 4 6
724 1 2.328748807385113 2.391704385640644 1.7121364346855124 2 0 6
558 1 4.096324105688528 2.2569291322296605 0.5726275336883627 -3 -5 3
696 1 3.5635378112344087 2.8706801134851574 1.4241264214101708 -3 3 5
88 1 4.698319796305035 3.3407166282522662 1.0584923080026125 2 0 -3
192 1 4.345426378077206 2.1184992102041282 1.522607137437541 -3 -5 3
859 1 0.7895345225471383 4.331692550241792 0.5492963760920495 5 1 1
627 1 1.1100188529316959 4.441153312497808 1.6225102703366565 -2 1 1
761 1 0.1502524201584688 4.131541083489525 3.4453587679960274 0 0 4
610 1 4.44344182672595 3.024584870481308 4.316130362225715 1 1 -1
489 1 2.4008617254187055 5.032691970019319 3.5437175582188005 -4 2 0
240 1 2.405084958832424 3.172796130858876 0.8382171252838909 1 -1 -1
15 1 2.8001320333415194 3.805155264160057 1.5337240258499896 1 1 -3
66 1 1.8454190289391408 3.9568538595189944 0.613094117367828 -3 1 -3
25 1 2.0961446117352196 0.3757468315138082 0.7234371846879295 0 4 -2
131 1 3.7915407626900732 3.910823446641777 1.3274000745096979 3 4 4
175 1 4.034795890663877 4.8648999974335965 0.844511473953741 -3 6 1
242 1 3.840620644876365 3.9900883673397196 4.673769221613662 -5 -1 -4
73 1 1.3883615063131078 1.3096606638686352 2.4897381406222094 5 3 -4
129 1 0.3356256131164082 1.74139962133038 2.5313934818305825 -1 1 2
108 1 0.3930099258683695 2.6084204684068504 1.687393895690254 1 2 4
595 1 2.410136342828415 0.4575600324053861 2.803870444006929 0 -3 -2
445 1 1.5657491446648482 1.5276960094639835 4.002282134979263 6 -6 -2
863 1 1.3948188990052497 1.9035971442971007 1.583691637857075 0 1 0
842 1 2.5241161789326467 1.4118119400385107 3.060240315375857 -2 -3 -3
545 1 0.1661212246775462 1.2057611810932267 3.5346509376419792 2 -1 -4
547 1 4.474801957879065 1.1775292683463374 1.307399256002546 -1 -1 -2
269 1 3.399423006884345 0.8076732029105962 3.160651574348512 6 0 -5
68 1 4.581334915400057 0.8560445212503498 2.9692014412306666 -6 -1 -2
