LAMMPS data file via write_data, version 3 Mar 2020, timestep = 40000000

30940 atoms
1 atom types

0.0000000000000000e+00 3.0000000000000000e+01 xlo xhi
0.0000000000000000e+00 3.0000000000000000e+01 ylo yhi
0.0000000000000000e+00 3.0000000000000000e+01 zlo zhi
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 xy xz yz

Atoms # sphere

6432 1 1.0000000000000000e+00 1.9098593171027443e+00 9.6085865186233543e-01 1.9032986373455745e+00 4.2773894812588109e+00 -334 -1 4
5694 1 1.0000000000000000e+00 1.9098593171027443e+00 1.2021497868180344e+00 2.8211683965137038e+00 3.9163196415936743e+00 258 0 6
12165 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7119202422545270e+00 4.7018477129528566e+00 8.5343584794205996e-01 -77 0 5
5395 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7802476400391465e+00 9.8055882467855326e-01 3.7068599263254356e+00 4 0 6
27961 1 1.0000000000000000e+00 1.9098593171027443e+00 1.6607897157768583e+00 2.4788764455964194e+00 3.0933794169817661e+00 -166 -1 9
1632 1 1.0000000000000000e+00 1.9098593171027443e+00 5.3204999026051851e+00 4.8481097439324463e+00 5.1876725562753760e+00 -421 -1 7
24979 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7445622566259704e+00 4.9554164993585585e+00 1.8430536353187361e+00 -378 -1 4
492 1 1.0000000000000000e+00 1.9098593171027443e+00 5.8959192700906922e+00 4.1275427684548704e+00 5.8189226672960173e+00 -420 -1 8
3996 1 1.0000000000000000e+00 1.9098593171027443e+00 1.8861529713893934e+00 1.1951569813700904e+00 1.9776163978873135e-01 159 0 6
5057 1 1.0000000000000000e+00 1.9098593171027443e+00 1.5418354148237015e+00 1.0349588592476033e+00 1.0768381101179019e+00 -435 0 4
12922 1 1.0000000000000000e+00 1.9098593171027443e+00 1.1484698372963367e+00 3.8427506753674217e+00 4.7332058175575531e+00 -165 -1 4
12514 1 1.0000000000000000e+00 1.9098593171027443e+00 1.0683319716486525e-01 2.2436924805817893e+00 2.2140923955733047e+00 138 -1 6
6741 1 1.0000000000000000e+00 1.9098593171027443e+00 1.2823012799632507e+00 3.6635418618247373e+00 6.6223420533340605e-01 -16 -1 6
17393 1 1.0000000000000000e+00 1.9098593171027443e+00 1.3742279665975732e+00 3.5029344095234349e+00 2.1800831815635848e+00 174 0 6
18534 1 1.0000000000000000e+00 1.9098593171027443e+00 8.1807942072151285e-01 1.1550167642616301e-01 2.5671180594692409e+00 352 0 6
18598 1 1.0000000000000000e+00 1.9098593171027443e+00 4.7021973774250220e-01 1.3248485748868755e+00 2.2050853852081524e+00 158 0 6
10674 1 1.0000000000000000e+00 1.9098593171027443e+00 1.0568909856734201e+00 4.5314910493008611e+00 2.4080625168893799e+00 -266 0 5
11 1 1.0000000000000000e+00 1.9098593171027443e+00 1.8493744585347196e+00 3.1972938516686753e+00 4.6887586594629003e+00 56 -1 5
5907 1 1.0000000000000000e+00 1.9098593171027443e+00 1.6601166474902924e+00 5.8483761940581127e+00 2.2640743381498600e+00 253 0 7
6482 1 1.0000000000000000e+00 1.9098593171027443e+00 1.4570495814015560e+00 5.6360700506122532e+00 7.6364027548960234e-01 -426 -1 4
20259 1 1.0000000000000000e+00 1.9098593171027443e+00 3.6131351627591823e+00 7.8182881898340184e-01 2.5558352678838174e+00 -291 -1 4
30697 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7495060716863557e+00 2.9717209115019276e+00 1.6046170166816978e-01 436 0 7
