q,SAA,SBB,SAB,Snn,Scc,Snc
0.3125,9.589763199093223,50.52530377272149,21.133067059881355,102.38120109157741,0.37037639844146575,-0.020128169362212924
0.9375,0.3704069956465848,0.43507402583182914,-0.3457825847093898,0.11391585205963443,0.3658901200460125,-0.009582164751102962
1.5625,0.2746930409050331,0.3230984379505412,-0.2411774509832506,0.1154365768890731,0.264973610997998,-0.0011476279988190412
2.1875,0.22394266484634207,0.26898583963713496,-0.18428428530488863,0.12435993387369977,0.21133872780101168,0.0023156619676469167
2.8125,0.20647442029563165,0.2517512583643557,-0.1576978520949392,0.1428299744701089,0.19005987672694544,0.005887679218746341
3.4375,0.20468150225960344,0.26931949506324865,-0.14253205409241587,0.18893688913802037,0.18439311316182885,0.005415605758424448
4.0625,0.2194524963512029,0.31731599082213563,-0.13307274104199376,0.27062300508935094,0.1919778337034546,0.005117260764222449
4.6875,0.24257009488236167,0.40966844324659285,-0.11069206154827183,0.43085441503241084,0.20221874121045227,0.0025013584291061182
5.3125,0.28034861548159273,0.5759426093638452,-0.06038624028761465,0.7355187442702086,0.2145683220278312,-0.0008987002502885071
5.9375,0.3342501332009311,0.8617000970329035,0.0379825716698545,1.2719153735735436,0.22538821208388493,-0.009697190825180698
6.5625,0.36484642556519575,1.0091719412104176,0.11155958376551987,1.597137534306653,0.22274685074423262,-0.003181378764159236
7.1875,0.3457451769461858,0.961760174570499,0.09260851557626101,1.4927223826692069,0.21708337894728041,-0.00987998383772008
7.8125,0.31285657131213124,0.7673789059576186,0.03275495995953138,1.1457453971888125,0.20860577299344066,0.001567871501278932
8.4375,0.29291104377575594,0.6534595729330501,-0.0074491075648169605,0.9314724015791721,0.20546310762046532,0.005760027915517171
9.0625,0.27890153964964853,0.5965072725892173,-0.023730521214453428,0.8279477698099591,0.20031050102655137,0.006555417165444825
9.6875,0.2784784072197276,0.5927451020993838,-0.03057197247365259,0.8100795643718061,0.2026390426818409,0.004656286226608092
10.3125,0.28508113456701895,0.6180718826509317,-0.033133203374330115,0.8368866104692905,0.20923174338333614,0.0006481808422734233
10.9375,0.29134124592021193,0.6509761868369192,-0.024174717261465594,0.8939679982341997,0.21149909031278916,-0.00127358254286395
11.5625,0.30304753696301495,0.7052255009056626,-0.01018065054300846,0.9879117367826605,0.21624149751704513,-0.003782587613892924
12.1875,0.3107310848430714,0.7452973616189158,0.011244337899454473,1.078517122260896,0.21461333887411962,-0.001880975701737645
12.8125,0.3134382997317314,0.7583501375362198,0.017938394902450423,1.1076652270728518,0.21430275538517285,-0.001232277182386924
13.4375,0.3096847617205744,0.7510628000883981,0.019863540643784896,1.1004746430965424,0.2109989159393853,-0.0009014857163063533
14.0625,0.30398436248128846,0.7166611790309093,0.011798458946937805,1.0442424594060735,0.20849517016660468,0.0022183957685813424
14.6875,0.29794972830622646,0.6868200033744636,0.004787674364500065,0.9943450804096902,0.20579594449734617,0.004156128525358708
